display  I           wgl_disp.c:245  display_pixel_format             [   0.16138] Accelarated: yes
display  I           wgl_disp.c:246  display_pixel_format             [   0.16138] Single-buffer: no
display  I           wgl_disp.c:248  display_pixel_format             [   0.16139] Swap method: flip
display  I           wgl_disp.c:251  display_pixel_format             [   0.16140] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:257  display_pixel_format             [   0.16141] Depth buffer: 24 bits
display  I           wgl_disp.c:258  display_pixel_format             [   0.16142] Sample buffers: no
display  I           wgl_disp.c:259  display_pixel_format             [   0.16142] Samples: 0
display  D   display_settings.c:191  debug_display_settings           [   0.16143] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16144] Score is : 1969
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.16145] -- 
display  I           wgl_disp.c:770  get_available_pixel_formats_ext  [   0.16146] Decoding visual no. 10...
display  I           wgl_disp.c:341  decode_pixel_format_attrib       [   0.16153] Decoding:
display  I           wgl_disp.c:245  display_pixel_format             [   0.16154] Accelarated: yes
display  I           wgl_disp.c:246  display_pixel_format             [   0.16155] Single-buffer: no
display  I           wgl_disp.c:248  display_pixel_format             [   0.16156] Swap method: flip
display  I           wgl_disp.c:251  display_pixel_format             [   0.16156] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:257  display_pixel_format             [   0.16157] Depth buffer: 24 bits
display  I           wgl_disp.c:258  display_pixel_format             [   0.16158] Sample buffers: no
display  I           wgl_disp.c:259  display_pixel_format             [   0.16159] Samples: 0
display  D   display_settings.c:191  debug_display_settings           [   0.16160] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16161] Score is : 1969
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.16161] -- 
display  I           wgl_disp.c:770  get_available_pixel_formats_ext  [   0.16162] Decoding visual no. 11...
